"Latin","Abundance","kappa","sigma","mu","Abundance.ext"
"Abarema macradenia",2,1.95226601535453e-08,577.420012825498,204.890110699059,0
"Acacia melanoceras",5,7.45555462696786e-06,1.67562321340128,1.34128183620686,38
"Acalypha diversifolia",1560,0.000233309195183172,14.6818957377702,13.3728119783297,12570
"Acalypha macrostachya",79,4.91276677725149e-05,4.50627776196523,3.2161103338269,645
"Adelia triloba",346,3.11123465612139e-05,18.1516721905487,22.2419738941414,2863
"Aegiphila panamensis",136,0.000758897281474591,4.14971518072746,0.358414777124362,1069
"Alchornea costaricensis",385,0.00011325445942537,6.97681691733148,6.79884928069783,3383
"Alchornea latifolia",2,4.0269766066184e-09,1707.75079615786,993.301027233666,0
"Alibertia edulis",304,7.51250850042494e-05,29.5142551241737,8.09316887915147,2167
"Allophylus psilospermus",175,0.000165596383816455,14.3910648862569,2.11357272383396,1324
"Alseis blackiana",7601,0.000195143152277045,25.6860743516426,77.9017855487836,60321
"Amaioua corymbosa",29,1.9818460172026e-06,32.0940939593191,29.2656439988551,216
"Anacardium excelsum",28,4.04085535074224e-05,7.03967881619474,1.38584520204896,228
"Anaxagorea panamensis",471,2.03511409063118e-06,9.5070441524607,462.873312280908,4256
"Andira inermis",317,6.15115604569605e-05,70.0329804722873,10.3070056309758,2224
"Annona acuminata",506,0.000191270776887958,13.8087545401565,5.29092847566988,3965
"Annona hayesii",1,2e-06,1,1,13
"Annona spraguei",57,0.000110925200532571,9.79771943347872,1.02771957546767,474
"Apeiba hybrid",1,2e-06,1,1,12
"Apeiba membranacea",388,0.000565358812258285,16.9790063398442,1.3725796488434,3069
"Apeiba tibourbou",45,683.327047470383,98.9664238874756,1.31708528636722e-07,356
"Aphelandra sinclairiana",13,7.94822126233035e-06,13.8738767783928,3.27117214554959,66
"Appunia seibertii",1,2e-06,1,1,12
"Ardisia bartlettii",3,6.36748280387037e-06,19.9762013113685,0.942287585975575,15
"Ardisia guianensis",22,4.51567827485676e-06,6.47474136585906,9.74382968002647,171
"Ardisia standleyana",75,7.03329071386646e-05,3.83528930612089,2.13271434528176,627
"Aspidosperma spruceanum",451,3.33942363324612e-05,32.8405725829596,27.0106491138173,3855
"Astrocaryum standleyanum",248,0.000103761204945815,22.4686986736677,4.78020663174658,2168
"Astronium graveolens",70,2.7895764455783e-05,23.9195493651788,5.01868304135959,495
"Attalea butyracea",44,4.41924282074608e-05,38.6793959748806,1.991291349434,329
"Bactris barronis",111,0.00077892924561858,0.287220882669954,0.285006630895853,864
"Bactris coloniata",241,6.53264615838042e-05,4.82030087727562,7.37832707166705,1791
"Bactris coloradonis",38,0.000192983371869039,1.85395124888635,0.393816313104813,334
"Bactris major",469,6.57005940084213e-06,15.2198869221955,142.768876622298,3670
"Beilschmiedia pendula",2376,6.15618556256944e-05,28.935841190653,77.1906556698501,18090
"Bertiera guianensis",2,2.05859241616308e-06,1.80693043548577,1.9430752627834,20
"Borojoa panamensis",1,2e-06,1,1,3
"Brosimum alicastrum",862,0.000597805002923482,18.7255702884253,2.8838835265162,6895
"Brosimum guianense",6,2.41958801054821e-08,1523.38879942119,495.952201270874,76
"Calophyllum longifolium",647,9.30443486745259e-05,21.3079522423793,13.9073465334954,4882
"Capparis frondosa",3536,9.76671121350549e-05,43.7397609480517,72.4092260475643,31478
"Casearia aculeata",470,0.000294296417718452,16.7039232563934,3.19405858653461,3956
"Casearia arborea",271,5.63959907560467e-05,36.9149735700858,9.61061225689856,2075
"Casearia commersoniana",21,6.87256463711634e-06,41.4444599904441,6.11125572732668,141
"Casearia guianensis",15,1.36442108009256e-07,833.956248426886,219.873471890106,92
"Casearia sylvestris",247,0.000300248033266138,24.0645671284783,1.64530636429555,1945
"Cassipourea elliptica",766,8.92568283806977e-05,38.4391665722736,17.1639529187137,5896
"Cavanillesia platanifolia",24,1.53094125960022e-07,715.02005029023,313.532604200206,85
"Cecropia insignis",513,0.000138362859442592,7.17661381471805,7.4152847385009,4110
"Cecropia obtusifolia",61,0.000131847967127553,7.66283350370676,0.925308161042587,462
"Cedrela odorata",5,2.13321632378774e-05,13.3580817089613,0.468775711515464,38
"Ceiba pentandra",73,0.000109174123251995,13.762807026971,1.33731323550915,579
"Celtis schippii",183,0.000181984977162431,23.0215257886895,2.01115501788549,1419
"Cespedesia spathulata",7,4.7301071991117e-06,3.67441331797062,2.95976378772751,56
"Cestrum megalophyllum",308,0.000111022305165724,20.4172566306652,5.54843460582529,2480
"Chamaedorea tepejilote",32,6.72939187609054e-05,5.69295477286264,0.951051761859661,264
"Chamguava schippii",194,3.83639809618859e-06,22.4220636729373,101.136532307602,1687
"Chimarrhis parviflora",3,6.43200122452807e-06,17.4577876499907,0.932835643301705,22
"Chrysochlamys eclipes",458,3.40118966980476e-05,37.2007205809848,26.9317529725586,3140
"Chrysophyllum argenteum",429,0.000172374265411473,41.7608304311378,4.9775411541385,3433
"Chrysophyllum cainito",68,0.000335362488284355,4.79929781914756,0.405531342207495,521
"Cinnamomum triplinerve",89,0.000218458654726513,33.6646886688765,0.814799487906932,694
"Clidemia dentata",8,2.25628432094959e-05,15.4517202156039,0.709130487298967,44
"Clidemia octona",3,2.22471622563369e-08,1098.02263673853,269.69731828566,0
"Clidemia septuplinervia",1,2e-06,1,1,9
"Coccoloba coronata",180,0.000125897695920669,42.0066791843408,2.85946456261475,1492
"Coccoloba manzinellensis",445,0.00145421312291444,1.88211578493027,0.612014831922516,3600
"Cojoba rufescens",2,29593.6314700001,284.410371365744,1.35164216127207e-10,12
"Colubrina glandulosa",2,437620.454065,1093.6921753553,9.14034059158916e-12,21
